"","X.1","date","X","dfc","hp","dfc_bin","hp_bin","dfc_bin_med","hp_bin_med","dfc_na","dfc_na_bin_arg","di","cow","period","treat","herd","diff_calv","DIM","WIM","calendar_day","calendar_week","wean","weanspot","heat","sexcalf","lactnr","lactation","contacttime","contactbouts","contact_meantimeBout","calfcontacttries","bedding","healthstate","milkingstart_mo","milkingend_mo","milkingstart_ev","milkingend_ev","milkingstart","milkingend","milkingduration_mo","milkingduration_ev","in_calvingpen","calvingpen_out","pasture","dayclass"
"52",52,"2020-11-28",13,1,0.258734418081402,1,1,1,1,1,1,-0.0921599203281223,12112,1,3,1,58,59,9,24,4,2,NA,0,"m",2,2,NA,NA,NA,NA,0,0,4.71428333123525,-3,7,-31,11.7142833312353,34,-7.71428333123524,-38,0,52,0,0
"53",53,"2020-11-29",14,1,0.223836681465906,1,1,1,1,1,1,-0.0519359435195881,12112,1,3,1,59,60,9,23,4,2,NA,0,"m",2,2,NA,NA,NA,NA,0,0,5.85714999834696,-39.857149998347,4.5,-50.142850001653,10.357149998347,90,-45.7142999966939,-54.642850001653,0,53,0,0
"54",54,"2020-11-30",15,1,0.228469825686219,1,1,1,1,1,1,0.362885999590868,12112,1,3,1,60,61,9,22,4,2,NA,0,"m",2,2,NA,NA,NA,NA,0,0,-6.57143332958221,-11.4285666704178,10,11.857149998347,16.5714333295822,23.2857166687647,-4.85713334083556,1.85714999834696,0,54,0,0
"55",55,"2020-12-01",16,1,0.223254336363556,1,1,1,1,1,1,-0.101169293340112,12112,1,3,1,61,62,9,21,4,2,NA,0,"m",2,2,NA,NA,NA,NA,0,0,7.42856667041779,5.85714999834696,-2.5,22.2857166687647,9.92856667041779,28.1428666671117,-1.57141667207082,24.7857166687648,0,55,0,0
"56",56,"2020-12-02",17,1,0.194236127374525,1,1,1,0,1,1,-0.179177307551988,12112,1,3,1,62,63,10,20,3,2,NA,0,"m",2,2,NA,NA,NA,NA,0,0,0,-15.142850001653,NA,35.7142833312353,NA,50.8571333328883,-15.142850001653,NA,0,56,0,0
"57",57,"2020-12-03",18,1,0.184671974716055,1,0,1,0,1,1,0.24112726998719,12112,1,3,1,63,64,10,19,3,2,NA,0,"m",2,2,NA,NA,NA,NA,1,0,1.57143332958221,-5.42856667041779,1.28571666876475,42,2.85714999834696,47.4285666704178,-7,40.7142833312352,0,57,0,1
"58",58,"2020-12-04",19,1,0.137577860707875,1,0,1,0,1,1,0.0194230219937161,12112,1,3,1,64,65,10,18,3,2,NA,0,"m",2,2,NA,NA,NA,NA,0,0,9.57143332958221,-35.857149998347,-2.71428333123525,43.5714333295822,12.2857166608175,79.4285833279292,-45.4285833279292,46.2857166608175,0,58,0,0
"59",59,"2020-12-05",20,1,0.0815356148739093,1,0,1,0,1,1,0.161115100868316,12112,1,3,1,65,66,10,17,3,2,NA,0,"m",2,2,NA,NA,NA,NA,0,0,-6.28571666876475,-22.2857166687647,10.5714333295822,33.7142833312353,16.857149998347,56,-16,23.142850001653,0,59,0,0
"60",60,"2020-12-06",21,1,0.120804077538368,1,0,1,0,1,1,0.526259183306854,12112,1,3,1,66,67,10,16,3,2,NA,1,"m",2,2,NA,NA,NA,NA,0,0,2.42856667041779,-45.4285666704178,7.14285000165304,15.2857166687648,9.57141667207082,60.7142833391825,-47.8571333408356,8.14286666711172,0,60,0,1
"61",61,"2020-12-07",22,1,0.204341630613044,1,1,1,0,1,1,-0.0897372094434666,12112,1,3,1,67,68,10,15,3,2,NA,0,"m",2,2,NA,NA,NA,NA,1,0,-6.42856667041779,13.857149998347,-6.42856667041779,-7.14285000165304,12.8571333408356,21,20.2857166687647,-0.714283331235237,0,61,0,1
"62",62,"2020-12-08",23,1,0.226855147847141,1,1,1,1,1,1,-0.261251228300033,12112,1,3,1,68,69,10,14,3,2,NA,0,"m",2,2,NA,NA,NA,NA,0,0,-10.142850001653,80.7142833312353,-2.14285000165304,-52.4285666704178,12.2857000033061,133.142850001653,90.8571333328883,-50.2857166687648,0,62,0,0
"63",63,"2020-12-09",24,1,0.265700198831138,1,1,1,1,1,1,0.202300899295147,12112,1,3,1,69,70,11,13,2,2,NA,0,"m",2,2,NA,NA,NA,NA,1,0,-6.85714999834696,-7.28571666876475,-4.85714999834696,-39.4285666704178,11.7142999966939,46.7142833391825,-0.42856667041778,-34.5714166720708,0,63,0,1
"64",64,"2020-12-10",25,1,0.265025332390745,1,1,1,1,1,1,0.115076592313894,12112,1,3,1,70,71,11,12,2,2,NA,0,"m",2,2,NA,NA,NA,NA,0,0,12.2857166687648,43.7142833312353,-5.71428333123525,-30.5714333295822,18,74.2857166608175,31.4285666624705,-24.857149998347,0,64,0,0
"65",65,"2020-12-11",26,1,0.254903551308828,1,1,1,1,1,1,-0.222434349436739,12112,1,3,1,71,72,11,11,2,2,NA,0,"m",2,2,NA,NA,NA,NA,1,0,9.71428333123525,-9.85714999834696,-8,-27,17.7142833312353,36.857149998347,-19.5714333295822,-19,0,65,0,1
"66",66,"2020-12-12",27,1,0.279893987534169,1,1,1,1,1,1,0.0591365099886874,12112,1,3,1,72,73,11,10,2,2,NA,0,"m",2,2,NA,NA,NA,NA,0,0,5.33333333333333,-0.571433329582214,9.71428333123525,7.57143332958221,15.0476166645686,8.14286665916443,-5.90476666291553,-2.14285000165304,0,66,0,0
"67",67,"2020-12-13",28,1,0.337757228197924,1,1,1,1,1,1,0.158719065816147,12112,1,3,1,73,74,11,9,2,2,NA,0,"m",2,2,NA,NA,NA,NA,0,0,5.16666666666667,-11.142850001653,10.2857166687648,37.142850001653,15.4523833354314,48.2857000033061,-16.3095166683197,26.8571333328883,0,67,0,0
"68",68,"2020-12-14",29,1,0.328178686910021,1,1,1,1,1,1,0.194913098770666,12112,1,3,1,74,75,11,8,2,2,NA,0,"m",2,2,NA,NA,NA,NA,1,0,-4.16666666666667,4.42856667041779,0.571433329582214,15.142850001653,4.73809999624888,19.5714166720708,8.59523333708447,14.5714166720708,0,68,0,1
"69",69,"2020-12-15",30,1,0.22859151758701,1,1,1,1,1,1,-0.263057929724596,12112,1,3,1,75,76,11,7,2,2,NA,0,"m",2,2,NA,NA,NA,NA,0,0,-4.16666666666667,34.5714333295822,-1,-1.14285000165304,5.16666666666667,35.7142833312353,38.7380999962489,-0.142850001653045,0,69,0,0
"70",70,"2020-12-16",31,1,0.270425958775602,1,1,1,1,1,1,0.254407245673621,12112,1,3,1,76,77,12,6,1,2,NA,0,"m",2,2,NA,NA,NA,NA,1,0,-9.16666666666667,-44.5714333295822,-3,-0.71428333123525,12.1666666666667,45.2857166608175,-35.4047666629155,2.28571666876476,0,70,0,1
"71",71,"2020-12-17",32,1,0.308773536777159,1,1,1,1,1,1,-0.20381861575179,12112,1,3,1,77,78,12,5,1,2,NA,0,"m",2,2,NA,NA,NA,NA,0,0,-9.83333333333333,-18.4285666704178,13,20.7142833312353,22.8333333333333,39.142850001653,-8.59523333708447,7.71428333123524,0,71,0,0
"72",72,"2020-12-18",33,1,0.322455523031749,1,1,1,1,1,1,0.0343134207745384,12112,1,3,1,78,79,12,4,1,2,NA,0,"m",2,2,NA,NA,NA,NA,0,0,NA,-15.5714333295822,1.28571666876475,4.14285000165304,NA,19.7142833312353,NA,2.85713333288828,0,72,0,0
